title,body,neighborhood,category,time,datetime,likeCount,commentCount,image,url
"예천동 단기방 구합니다","서산 예천동에 3~4개월 정도 살수있는 단기방이있을까요? 두명이고 보통 잠만잘용도입니다","계산1동","일반","약 1시간 전","2026-05-26T05:43:57.750+00:00","0","0","","https://www.daangn.com/kr/community/%EC%98%88%EC%B2%9C%EB%8F%99-%EB%8B%A8%EA%B8%B0%EB%B0%A9-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-9hcbz5nwai8d/"
"인셀덤 저렴하게살수있을까요?","인셀덤 저렴하게살수있을까요?","북변동","미용","약 2시간 전","2026-05-26T05:18:59.731+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9D%B8%EC%85%80%EB%8D%A4-%EC%A0%80%EB%A0%B4%ED%95%98%EA%B2%8C%EC%82%B4%EC%88%98%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94-xbdjb9fc7uju/"
"왁뿌볼이나 말랑이","너무 갖고 싶은데 검단이나 서구나 어디 파는데 없나요 ㅜ","검단동","일반","약 2시간 전","2026-05-26T05:15:13.950+00:00","0","0","","https://www.daangn.com/kr/community/%EC%99%81%EB%BF%8C%EB%B3%BC%EC%9D%B4%EB%82%98-%EB%A7%90%EB%9E%91%EC%9D%B4-ax35umcu65nc/"
"5월 30일 롯데vs엔씨 경기","롯데 엔씨 경기 3루 2연석 구할 수 있을까요?ㅠㅠ? 혹시나 해서 당근에 문의합니다ㅠㅠ #롯데","고촌읍","취미","약 2시간 전","2026-05-26T05:04:01.355+00:00","0","0","","https://www.daangn.com/kr/community/5%EC%9B%94-30%EC%9D%BC-%EB%A1%AF%EB%8D%B0vs%EC%97%94%EC%94%A8-%EA%B2%BD%EA%B8%B0-rob2bfx7iz16/"
"🍀 타로 무료로 봐드려요! 🐱","연애운 직업운 취업운 상관없이 재밌게 봐드립니다^^ #타로 #연애운 #취업운 #금전운","원당동","일반","약 2시간 전","2026-05-26T04:35:00.466+00:00","0","0","","https://www.daangn.com/kr/community/%ED%83%80%EB%A1%9C-%EB%AC%B4%EB%A3%8C%EB%A1%9C-%EB%B4%90%EB%93%9C%EB%A0%A4%EC%9A%94-pomkefu7rmue/"
"혹시 노트북 그램 사용하시는분 계실까요?ㅜ","2026 오피스 밸류팩을 중고로 구매했는데 그램 시리얼넘버가 필요한줄 몰랐네요...ㅠ 혹시 시리얼넘버만 대여해주실수 있으신분 계실까요? 산돌구름 인증에만 사용할거고 뭐 다른곳에 사용하거나 쓸일 전혀 없어요!!","원당동","고민/사연","약 3시간 전","2026-05-26T04:32:00.930+00:00","0","0","","https://www.daangn.com/kr/community/%ED%98%B9%EC%8B%9C-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B7%B8%EB%9E%A8-%EC%82%AC%EC%9A%A9%ED%95%98%EC%8B%9C%EB%8A%94%EB%B6%84-%EA%B3%84%EC%8B%A4%EA%B9%8C%EC%9A%94-3oe1sq2n1sk8/"
"강아지 찾아가세요~~","여기는 걸포동 384-19 타일가게입니다. 주인분 어서 연락주세요~ 제가 잠시 데리고 있겠습니다.","걸포동","반려동물","약 3시간 전","2026-05-26T04:31:15.806+00:00","3","7","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059129844454100992","https://www.daangn.com/kr/community/%EA%B0%95%EC%95%84%EC%A7%80-%EC%B0%BE%EC%95%84%EA%B0%80%EC%84%B8%EC%9A%94-tytu3fyfan3h/"
"스시이안엔","너무 맛있네요 그저께오고 오늘 또왔어요~","원당동","맛집","약 3시간 전","2026-05-26T04:19:41.809+00:00","0","0","","https://www.daangn.com/kr/community/%EC%8A%A4%EC%8B%9C%EC%9D%B4%EC%95%88%EC%97%94-nscvs68zfjbq/"
"검단스시이안","스시이안에 검단 너무 너무 맛있어요~~ 친절하고","원당동","맛집","약 3시간 전","2026-05-26T04:19:03.041+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B2%80%EB%8B%A8%EC%8A%A4%EC%8B%9C%EC%9D%B4%EC%95%88-74aub2ge6pcc/"
"무릎 인공관절 특화 센터 있는 병원 추천받아요","그냥 동네 병원 말고 무릎 수술만 전문적으로 다루는 특화 센터가 있는 곳을 찾고 있어요. 장비도 최신이고 입원실 시설도 호텔처럼 깔끔한 곳 아시는 이웃님 계실까요? 부모님 모시고 가기 좋은 곳 추천 부탁드립니다","계산동","병원/약국","약 3시간 전","2026-05-26T04:06:53.120+00:00","0","0","","https://www.daangn.com/kr/community/%EB%AC%B4%EB%A6%8E-%EC%9D%B8%EA%B3%B5%EA%B4%80%EC%A0%88-%ED%8A%B9%ED%99%94-%EC%84%BC%ED%84%B0-%EC%9E%88%EB%8A%94-%EB%B3%91%EC%9B%90-%EC%B6%94%EC%B2%9C%EB%B0%9B%EC%95%84%EC%9A%94-1n3pgnr213ap/"
"원룸 구매해요","안녕하세요 저는 외국인 이예요 효성동과 청천동 지역에 한 달에 20만 원씩 묵을 방을 구하고 있습니다.","효성1동","일반","약 3시간 전","2026-05-26T03:57:45.802+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9B%90%EB%A3%B8-%EA%B5%AC%EB%A7%A4%ED%95%B4%EC%9A%94-m9idhp93h6an/"
"고양이 A형 수혈 구합니다","🚨 고양이 A형 헌혈/수혈 도움 urgently 구합니다 🚨 고양이가 복막염(FIP)으로 상태가 위급해 급하게 A형 수혈이 필요합니다. 지역: 인천 필요 혈액형: 고양이 A형 체중 조건: 보통 4~5kg 이상 건강한 아이 접종 여부: 기본접종 완료 아이 우대 일정: 오늘/가능한 가장 빠르게 연락: DM 또는 ***-****-****","연희동","반려동물","약 3시간 전","2026-05-26T03:40:45.385+00:00","0","1","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059117610080317440","https://www.daangn.com/kr/community/%EA%B3%A0%EC%96%91%EC%9D%B4-a%ED%98%95-%EC%88%98%ED%98%88-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-hban6nzj4jh1/"
"원룸에 아들짐 라면 박스로 한10개","원룸 이사에서 아파트로 이사하는데 엘베비용15만원을 내라는데 무슨 가정집 이사짐도 아니고 가전은 전자레인지 하나밖에 없고 라면 박스 로 한10개 나와 용달차도 안부르고 아들차로 옮기는데 엘베 비용 넘 과한거 아닌가요? 다른곳도 이런가요?","장기본동","이사/시공","약 3시간 전","2026-05-26T03:39:17.764+00:00","0","10","","https://www.daangn.com/kr/community/%EC%9B%90%EB%A3%B8%EC%97%90-%EC%95%84%EB%93%A4%EC%A7%90-%EB%9D%BC%EB%A9%B4-%EB%B0%95%EC%8A%A4%EB%A1%9C-%ED%95%9C10%EA%B0%9C-dcw9yawneezz/"
"혹시 검단에 mdf 합판 제작해주는 곳 있을까요???","가구용은 아니고.... 셀프인테리어 하기 전에 필름 연습용으로 해볼거라~~~^^;; 크기는 작아요... 한 요정도 만들어줄 곳 있을 까요???","마전동","생활/편의","약 3시간 전","2026-05-26T03:33:54.228+00:00","0","2","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059115738955341824","https://www.daangn.com/kr/community/%ED%98%B9%EC%8B%9C-%EA%B2%80%EB%8B%A8%EC%97%90-mdf-%ED%95%A9%ED%8C%90-%EC%A0%9C%EC%9E%91%ED%95%B4%EC%A3%BC%EB%8A%94-%EA%B3%B3-%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94-6iemev38m72e/"
